1 1 1.00783
1 2 2.01410
1 3 3.01605
1 4 4.02781
1 5 5.03531
1 6 6.04494
1 7 7.05275
2 3 3.01603
2 4 4.00260
2 5 5.01222
2 6 6.01889
2 7 7.02802
2 8 8.03392
2 9 9.04395
2 10 10.05240
3 3 3.03078
3 4 4.02719
3 5 5.01254
3 6 6.01512
3 7 7.01600
3 8 8.02249
3 9 9.02679
3 10 10.03548
3 11 11.04380
3 12 12.05378
4 5 5.04079
4 6 6.01973
4 7 7.01693
4 8 8.00531
4 9 9.01218
4 10 10.01353
4 11 11.02166
4 12 12.02692
4 13 13.03569
4 14 14.04289
4 15 15.05346
4 16 16.06192
5 6 6.04681
5 7 7.02992
5 8 8.02461
5 9 9.01333
5 10 10.01294
5 11 11.00931
5 12 12.01435
5 13 13.01778
5 14 14.02540
5 15 15.03110
5 16 16.03981
5 17 17.04699
5 18 18.05617
5 19 19.06373
6 8 8.03767
6 9 9.03104
6 10 10.01685
6 11 11.01143
6 12 12.00000
6 13 13.00336
6 14 14.00324
6 15 15.01060
6 16 16.01470
6 17 17.02259
6 18 18.02676
6 19 19.03481
6 20 20.04032
6 21 21.04934
6 22 22.05720
7 10 10.04165
7 11 11.02609
7 12 12.01861
7 13 13.00574
7 14 14.00307
7 15 15.00011
7 16 16.00610
7 17 17.00845
7 18 18.01408
7 19 19.01703
7 20 20.02337
7 21 21.02711
7 22 22.03439
7 23 23.04122
7 24 24.05104
7 25 25.06066
8 12 12.03440
8 13 13.02481
8 14 14.00860
8 15 15.00307
8 16 15.99492
8 17 16.99913
8 18 17.99916
8 19 19.00358
8 20 20.00408
8 21 21.00866
8 22 22.00997
8 23 23.01569
8 24 24.02047
8 25 25.02946
8 26 26.03834
8 27 27.04826
8 28 28.05781
9 14 14.03506
9 15 15.01801
9 16 16.01147
9 17 17.00210
9 18 18.00094
9 19 18.99840
9 20 19.99998
9 21 20.99995
9 22 22.00300
9 23 23.00357
9 24 24.00812
9 25 25.01210
9 26 26.01962
9 27 27.02676
9 28 28.03567
9 29 29.04326
9 30 30.05250
9 31 31.06043
10 16 16.02576
10 17 17.01767
10 18 18.00571
10 19 19.00188
10 20 19.99244
10 21 20.99385
10 22 21.99138
10 23 22.99447
10 24 23.99361
10 25 24.99774
10 26 26.00046
10 27 27.00759
10 28 28.01207
10 29 29.01939
10 30 30.02480
10 31 31.03311
10 32 32.04002
10 33 33.04938
10 34 34.05703
11 18 18.02597
11 19 19.01388
11 20 20.00735
11 21 20.99766
11 22 21.99444
11 23 22.98977
11 24 23.99096
11 25 24.98995
11 26 25.99263
11 27 26.99408
11 28 27.99894
11 29 29.00286
11 30 30.00898
11 31 31.01359
11 32 32.02047
11 33 33.02672
11 34 34.03517
11 35 35.04249
11 36 36.05148
11 37 37.05934
12 19 19.03547
12 20 20.01886
12 21 21.01171
12 22 21.99957
12 23 22.99412
12 24 23.98504
12 25 24.98584
12 26 25.98259
12 27 26.98434
12 28 27.98388
12 29 28.98860
12 30 29.99043
12 31 30.99655
12 32 31.99898
12 33 33.00525
12 34 34.00946
12 35 35.01734
12 36 36.02300
12 37 37.03140
12 38 38.03757
12 39 39.04677
12 40 40.05393
13 21 21.02804
13 22 22.01952
13 23 23.00727
13 24 23.99994
13 25 24.99043
13 26 25.98689
13 27 26.98154
13 28 27.98191
13 29 28.98045
13 30 29.98296
13 31 30.98395
13 32 31.98812
13 33 32.99084
13 34 33.99685
13 35 34.99986
13 36 36.00621
